procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 267288  15832 462400    0    0     0     4 5359 1993  1 25 74  0  0  0
 2  0      0 268152  15832 462412    0    0     0     0 5632 1905  0 28 72  0  0  0
 0  0      0 268056  15840 462412    0    0     0    16 5523 1858  2 23 74  1  0  0
 0  0      0 268280  15840 462432    0    0     0    24 5032 1773  1 23 76  0  0  0
 2  0      0 267136  15840 462444    0    0     0     0 5691 1838  1 26 73  0  0  0
 0  0      0 267648  15840 462452    0    0     0     0 5476 1874  0 27 73  0  0  0
 0  0      0 268096  15840 462464    0    0     0     0 5785 1930  1 27 71  1  0  0
 5  0      0 268224  15848 462468    0    0     0    16 5104 1941  1 22 77  0  0  0
 0  0      0 268332  15848 462492    0    0     0     0 4757 1691  1 21 78  0  0  0
 0  0      0 269208  15848 462536    0    0     0     0 4995 1767  1 23 76  0  0  0
 2  0      0 269684  15848 462488    0    0     0     0 5431 1864  1 28 71  0  0  0
 0  0      0 270228  15848 462500    0    0     0     0 5224 1890  1 24 75  0  0  0
 0  0      0 270420  15856 462500    0    0     0    16 5034 1896  0 22 78  0  0  0
 3  0      0 270676  15856 462520    0    0     0     0 5651 1875  1 25 74  0  0  0
 0  0      0 271840  15856 462532    0    0     0     0 5353 1847  1 24 75  0  0  0
 0  0      0 272000  15856 462540    0    0     0     0 4507 1601  0 21 79  0  0  0
 0  0      0 271520  15856 462552    0    0     0     0 5641 1886  1 28 71  0  0  0
 8  0      0 272128  15864 462556    0    0     0    16 5237 1994  1 25 73  1  0  0
 0  0      0 269888  15864 462576    0    0     0     0 5354 1844  1 25 74  0  0  0
 0  0      0 270336  15864 462584    0    0     0     0 5120 1819  1 25 74  0  0  0
 0  0      0 264648  15864 466232    0    0  3644     0 5134 1852  1 22 77  0  0  0
 0  0      0 263700  15864 466244    0    0     0     0 5746 1907  1 28 71  0  0  0
 0  0      0 263932  15872 466248    0    0     0    16 5607 1886  0 26 74  0  0  0
 0  0      0 263804  15872 466264    0    0     0     0 4879 1773  1 23 76  0  0  0
 0  0      0 264156  15872 466276    0    0     0     0 5272 1945  1 22 77  0  0  0
 0  0      0 264252  15872 466288    0    0     0     0 4721 1626  1 22 77  0  0  0
 0  0      0 262984  15872 466296    0    0     0     0 5603 1874  1 26 73  0  0  0
 0  0      0 263704  15880 466308    0    0     0   368 5351 1898  0 26 74  0  0  0
 0  0      0 264344  15880 466328    0    0     0     4 5326 1885  1 24 75  0  0  0
 0  0      0 263768  15880 466340    0    0     0     0 5388 1832  1 25 74  0  0  0
 0  0      0 262516  15880 467312    0    0   964     0 5736 1994  1 27 70  2  0  0
 0  0      0 262912  15880 467324    0    0     0     0 4831 1661  1 22 77  0  0  0
 0  0      0 262048  15888 467328    0    0     0    20 4993 1916  1 20 78  1  0  0
 2  0      0 262336  15888 467344    0    0     0     0 5169 1806  1 23 76  0  0  0
 0  0      0 261760  15888 467356    0    0     0     0 5561 1900  1 27 72  0  0  0
 0  0      0 261356  15888 467372    0    0     0     0 5370 1838  2 26 72  0  0  0
 0  0      0 260296  15888 467380    0    0     0     0 5571 1811  0 26 74  0  0  0
 0  0      0 262108  15896 467384    0    0     0    16 6028 2083  1 29 70  0  0  0
 0  0      0 262472  15896 467404    0    0     0    16 5465 1915  1 27 72  0  0  0
 8  0      0 262344  15896 467416    0    0     0     0 5497 1842  1 25 74  0  0  0
 0  0      0 262360  15896 467460    0    0     0     0 4885 1836  0 23 77  0  0  0
 0  0      0 262616  15896 467420    0    0     0     0 5054 1678  1 21 78  0  0  0
 0  0      0 262840  15904 467424    0    0     0    16 5199 1890  1 26 73  0  0  0
 0  0      0 263160  15904 467444    0    0     0     0 5240 1854  0 25 75  0  0  0
 0  0      0 262872  15904 467452    0    0     0     0 5287 1809  2 33 65  0  0  0
 0  0      0 261944  15904 467464    0    0     0     0 5170 1755  1 29 70  0  0  0
 3  0      0 263000  15904 467480    0    0     0     0 5310 1813  1 31 68  0  0  0
 0  0      0 263264  15912 467480    0    0     0    16 5400 1866  1 31 68  0  0  0
 0  0      0 259776  15912 467500    0    0     0     0 5260 1857  2 46 52  0  0  0
 0  0      0 262544  15912 467512    0    0     0     0 5489 1852  1 31 68  0  0  0
 0  0      0 257004  15912 473868    0    0  6312     0 5207 1875  2 23 75  0  0  0
 0  0      0 257484  15912 473812    0    0     0     0 4726 1720  0 23 77  0  0  0
 0  0      0 256396  15920 473816    0    0     0    16 5089 1792  1 26 73  0  0  0
 0  0      0 256868  15920 473836    0    0     0     0 4915 1802  1 25 74  0  0  0
 0  0      0 257124  15920 473844    0    0     0     0 5143 1878  1 26 73  0  0  0
 0  0      0 257252  15920 473856    0    0     0     0 4761 1708  1 23 76  0  0  0
 0  0      0 257316  15920 473868    0    0     0     0 5365 1800  1 26 73  0  0  0
 0  0      0 256012  15928 473868    0    0     0   352 5762 2089  1 29 68  2  0  0
