procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
46  0      0 191588  15824 471988    0    0     0    20 17030 8269 3 97  0  0  0  0
27  0      0 194460  15824 472044    0    0     0     0 16405 8560 4 96  0  0  0  0
19  0      0 211616  15824 472096    0    0     0     0 17628 8475 3 94  3  0  0  0
37  0      0 208132  15824 472148    0    0     0     0 17260 8415 3 97  0  0  0  0
32  0      0 214992  15824 472196    0    0     0     0 17481 7824 3 97  0  0  0  0
19  0      0 211008  15832 472248    0    0     0    16 17288 8321 3 97  0  0  0  0
29  0      0 214536  15832 472312    0    0     0     8 16943 8138 3 97  0  0  0  0
18  0      0 194472  15832 480580    0    0  8192  1608 17028 8538 3 97  0  0  0  0
10  0      0 193336  15832 483684    0    0  3080     0 17246 7941 4 96  0  0  0  0
29  0      0 194992  15832 483696    0    0     0     0 17372 7606 3 97  0  0  0  0
30  0      0 187260  15840 483776    0    0     0    36 17706 8191 3 97  0  0  0  0
15  0      0 196276  15840 483836    0    0     0     0 17247 7117 4 95  1  0  0  0
22  0      0 198336  15840 483884    0    0     0     0 16696 8296 3 97  0  0  0  0
14  0      0 193516  15840 483936    0    0     0     0 17548 8397 4 96  0  0  0  0
25  0      0 195776  15840 483984    0    0     0     0 17413 7996 4 96  0  0  0  0
24  0      0 198240  15848 484036    0    0     0    16 17210 7813 3 97  0  0  0  0
18  0      0 198184  15848 484096    0    0     0     0 17416 8064 3 97  0  0  0  0
19  0      0 197336  15848 484148    0    0     0    24 17277 8143 3 96  1  0  0  0
17  0      0 178972  15848 484228    0    0     0     0 17383 8518 3 97  0  0  0  0
31  0      0 181420  15848 492444    0    0  8192     0 17296 8398 4 96  0  0  0  0
30  0      0 188436  15856 492476    0    0     0    16 17541 7405 2 97  1  0  0  0
19  0      0 188184  15856 492532    0    0     0     0 17602 7613 3 97  0  0  0  0
36  0      0 186772  15856 492588    0    0     0     0 17370 7693 4 96  0  0  0  0
20  0      0 186912  15856 492636    0    0     0     0 17706 8021 4 96  0  0  0  0
17  0      0 193488  15856 492692    0    0     0     0 17483 8127 2 98  0  0  0  0
 6  0      0 194884  15864 492744    0    0     0    16 17808 8289 4 95  1  0  0  0
29  0      0 190836  15864 492800    0    0     0     0 18058 8097 2 97  1  0  0  0
25  0      0 192192  15864 492856    0    0     0     4 17522 7784 3 97  0  0  0  0
25  0      0 194632  15864 492908    0    0     0     0 17459 7989 2 97  1  0  0  0
23  0      0 189372  15864 492996    0    0     0     0 17488 7825 5 95  0  0  0  0
16  0      0 177428  15872 498392    0    0  5364    16 17471 8647 3 97  0  0  0  0
16  0      0 181520  15872 498404    0    0     0     0 17615 7742 3 97  0  0  0  0
23  0      0 185008  15872 498460    0    0     0     0 17440 7891 3 97  0  0  0  0
46  0      0 183296  15872 498520    0    0     0     0 17826 8119 4 96  0  0  0  0
15  0      0 181948  15872 498568    0    0     0     0 17373 8021 3 97  0  0  0  0
28  0      0 184924  15880 498612    0    0     0    16 17625 8367 3 97  0  0  0  0
16  0      0 187160  15880 498668    0    0     0     0 17555 7940 4 96  0  0  0  0
24  0      0 178764  15880 498732    0    0     0  1580 17349 7911 3 97  0  0  0  0
21  0      0 182868  15880 498784    0    0     0     0 17283 7892 3 96  1  0  0  0
32  0      0 194156  15880 498832    0    0     0     0 17495 7748 3 95  2  0  0  0
18  0      0 182480  15888 498880    0    0     0    28 16377 6557 3 97  0  0  0  0
37  0      0 170328  15888 499680    0    0   720     0 16023 7109 4 96  0  0  0  0
49  0      0 172536  15888 499692    0    0     0     0 16021 6334 4 96  0  0  0  0
25  0      0 172740  15888 499740    0    0     0     0 17184 7488 3 97  0  0  0  0
40  0      0 170012  15888 499792    0    0     0     0 17179 7759 3 97  0  0  0  0
12  1      0 176428  15896 499832    0    0     0    16 16333 6896 4 96  0  0  0  0
28  0      0 172184  15896 499892    0    0     0     0 15991 6516 3 97  0  0  0  0
42  0      0 176940  15896 499948    0    0     0     0 16864 7802 3 97  0  0  0  0
27  0      0 172908  15896 500000    0    0     0     0 17501 7905 3 97  0  0  0  0
 8  0      0 178756  15896 500048    0    0     0     0 17111 7135 4 96  0  0  0  0
34  0      0 175140  15896 500064    0    0     0     0 16450 6381 4 96  0  0  0  0
47  0      0 180220  15904 500144    0    0     0    28 16818 6825 3 97  0  0  0  0
13  0      0 166984  15904 503828    0    0  3644     0 17391 9051 3 97  0  0  0  0
18  0      0 160964  15904 503888    0    0     0     0 15567 6570 3 97  0  0  0  0
34  0      0 158572  15904 503892    0    0     0     0 16031 5922 4 96  0  0  0  0
25  0      0 165244  15904 503968    0    0     0     0 16781 7250 4 96  0  0  0  0
 9  0      0 169836  15912 504028    0    0     0    16 17697 8296 3 97  0  0  0  0
32  0      0 171636  15912 504088    0    0     0     0 17648 8520 3 97  0  0  0  0
 5  0      0 172392  15912 504140    0    0     0     0 17557 8904 3 96  1  0  0  0
 7  0      0 175596  15912 504196    0    0     0     0 17238 9143 3 95  2  0  0  0
22  0      0 170764  15912 504244    0    0     0     0 16944 7968 4 96  0  0  0  0
30  0      0 179168  15920 504300    0    0     0    20 17343 7933 3 97  0  0  0  0
30  0      0 177888  15920 504348    0    0     0     0 16693 7863 3 97  0  0  0  0
12  0      0 173972  15920 505400    0    0   964     0 17483 8841 3 97  0  0  0  0
22  0      0 174556  15920 505408    0    0     0     0 17202 8347 3 97  0  0  0  0
32  0      0 174536  15920 505452    0    0     0     0 16745 7805 4 96  0  0  0  0
23  0      0 170696  15928 505500    0    0     0    16 17161 7962 2 98  0  0  0  0
 1  0      0 179808  15928 505556    0    0     0     0 17374 7939 4 94  2  0  0  0
29  0      0 176924  15928 505604    0    0     0  1540 17000 7802 3 97  0  0  0  0
22  0      0 176464  15928 505656    0    0     0     0 16924 8124 3 97  0  0  0  0
20  0      0 177436  15928 505716    0    0     0     0 17374 7715 3 97  0  0  0  0
11  0      0 180156  15936 505768    0    0     0    36 18030 8193 3 97  0  0  0  0
30  0      0 181820  15936 505820    0    0     0     0 17299 8115 3 97  0  0  0  0
21  0      0 179084  15936 505872    0    0     0     0 17350 8249 3 97  0  0  0  0
25  0      0 165588  15936 505956    0    0     0     0 17275 7643 3 97  0  0  0  0
32  0      0 174044  15936 505976    0    0     0     0 17426 8466 3 97  0  0  0  0
16  0      0 173068  15944 506028    0    0     0    16 17462 7686 4 96  0  0  0  0
26  0      0 171672  15944 506076    0    0     0     0 17253 8015 3 97  0  0  0  0
11  0      0 167764  15944 506128    0    0     0     0 17388 7927 2 98  0  0  0  0
18  0      0 173080  15944 506184    0    0     0     0 17639 8377 3 97  0  0  0  0
13  1      0 183012  15952 506232    0    0     0    16 17211 8677 3 92  5  0  0  0
23  0      0 177212  15952 506292    0    0     0     0 17503 8516 3 96  1  0  0  0
11  0      0 179148  15952 506344    0    0     0     0 16915 8409 3 95  2  0  0  0
29  0      0 180500  15952 506396    0    0     0     0 17293 7581 4 96  0  0  0  0
 7  0      0 180884  15952 506448    0    0     0     0 17270 8067 3 97  0  0  0  0
15  1      0 178112  15960 506492    0    0     0    16 17130 7987 4 96  0  0  0  0
31  0      0 180560  15960 506552    0    0     0    24 17473 8295 3 97  0  0  0  0
 6  0      0 185656  15960 506604    0    0     0     0 17462 7563 3 96  1  0  0  0
17  0      0 182756  15960 506668    0    0     0     4 17375 7928 4 95  1  0  0  0
11  0      0 180904  15960 506720    0    0     0     0 17241 8283 3 95  2  0  0  0
13  1      0 184008  15968 506760    0    0     0    16 17322 7969 4 96  0  0  0  0
23  0      0 184268  15968 506824    0    0     0     0 17320 8249 3 97  0  0  0  0
22  0      0 187148  15968 506880    0    0     0     0 17534 8167 3 97  0  0  0  0
25  0      0 177472  15968 506936    0    0     0     0 17412 8136 3 97  0  0  0  0
27  0      0 184328  15968 506984    0    0     0     0 17339 8411 3 97  0  0  0  0
21  1      0 175592  15976 507032    0    0     0    16 17336 8156 3 97  0  0  0  0
18  0      0 185416  15976 507060    0    0     0     0 17469 8489 4 96  0  0  0  0
11  0      0 179620  15976 507120    0    0     0     0 17227 7553 4 96  0  0  0  0
11  0      0 172888  15976 507168    0    0     0     0 17396 8048 3 97  0  0  0  0
10  0      0 180656  15976 507224    0    0     0  1596 17184 8470 3 92  5  0  0  0
42  0      0 186056  15976 507276    0    0     0     0 16997 8185 3 92  5  0  0  0
29  0      0 180936  15984 507336    0    0     0    36 16962 7738 4 96  0  0  0  0
11  0      0 182480  15984 507380    0    0     0     0 17160 7834 4 96  0  0  0  0
15  0      0 186736  15984 507436    0    0     0     0 16612 7239 3 97  0  0  0  0
24  0      0 187680  15984 507488    0    0     0     0 17229 7597 4 95  1  0  0  0
43  0      0 170668  15984 507568    0    0     0     0 15020 6498 3 97  0  0  0  0
33  0      0 170348  15992 507584    0    0     0    16 15792 7110 4 96  0  0  0  0
25  0      0 167060  15992 507624    0    0     0     0 15542 6748 4 96  0  0  0  0
33  0      0 179320  15992 507668    0    0     0     0 17533 7599 3 97  0  0  0  0
16  0      0 181296  15992 507720    0    0     0     0 16665 7202 3 97  0  0  0  0
23  0      0 176432  15992 507772    0    0     0     0 15876 6599 4 96  0  0  0  0
46  0      0 173840  16000 507776    0    0     0    16 16160 5707 4 96  0  0  0  0
22  0      0 177560  16000 507852    0    0     0     0 17483 7630 3 97  0  0  0  0
18  0      0 181532  16000 507920    0    0     0     0 17470 8678 4 94  2  0  0  0
17  0      0 177084  16000 507972    0    0     0     0 16457 7103 3 97  0  0  0  0
29  0      0 178356  16000 508020    0    0     0     0 15773 7000 4 96  0  0  0  0
20  0      0 164768  16008 508108    0    0     0    16 17402 8121 3 97  0  0  0  0
24  0      0 161292  16008 508100    0    0     0     0 16528 7250 4 96  0  0  0  0
32  0      0 159820  16008 508116    0    0     0     0 15996 5441 3 97  0  0  0  0
36  0      0 162828  16008 508188    0    0     0     0 15707 6393 3 97  0  0  0  0
38  0      0 160940  16008 508232    0    0     0     0 17380 7173 4 96  0  0  0  0
32  0      0 161420  16016 508280    0    0     0    20 17202 7086 4 96  0  0  0  0
21  0      0 164996  16016 508328    0    0     0     0 17094 7811 2 98  0  0  0  0
23  0      0 165984  16016 508388    0    0     0     0 17261 7556 3 97  0  0  0  0
27  0      0 168196  16016 508400    0    0     0     0 17120 7294 4 96  0  0  0  0
34  0      0 170644  16016 508476    0    0     0     0 17115 6508 3 97  0  0  0  0
31  0      0 166256  16024 508524    0    0     0    16 16734 7769 3 97  0  0  0  0
 7  0      0 159312  16024 508576    0    0     0     0 17545 9073 4 96  0  0  0  0
30  0      0 167500  16024 508632    0    0     0     0 17506 9007 4 96  0  0  0  0
17  0      0 170448  16024 508692    0    0     0     0 17431 9375 3 97  0  0  0  0
15  0      0 170968  16024 508748    0    0     0  1524 17588 8685 3 96  1  0  0  0
24  0      0 171456  16032 508800    0    0     0    60 17441 8879 3 97  0  0  0  0
39  0      0 169944  16032 508852    0    0     0     0 17522 8300 3 97  0  0  0  0
14  0      0 176044  16032 508904    0    0     0     0 17086 8285 3 97  0  0  0  0
29  0      0 181972  16032 508956    0    0     0     0 17027 8126 4 96  0  0  0  0
32  0      0 172156  16032 509008    0    0     0     0 17646 7817 4 96  0  0  0  0
38  0      0 175844  16040 509064    0    0     0    16 17609 8154 3 97  0  0  0  0
21  0      0 177316  16040 509116    0    0     0     0 17388 7444 3 97  0  0  0  0
17  0      0 177304  16040 509164    0    0     0     0 17559 7578 3 97  0  0  0  0
32  0      0 178008  16040 509212    0    0     0     0 17087 7484 2 98  0  0  0  0
18  0      0 178144  16040 509264    0    0     0     0 17509 7769 3 97  0  0  0  0
 2  0      0 182236  16048 509320    0    0     0    16 17355 7507 4 96  0  0  0  0
 0  0      0 184972  16048 509328    0    0     0     0 1045   98  0  1 99  0  0  0
 0  0      0 184944  16048 509328    0    0     0     0 1053   71  0  1 99  0  0  0
 0  0      0 184944  16048 509328    0    0     0     0 1010   62  0  2 98  0  0  0
 0  0      0 184944  16048 509328    0    0     0     0 1016   65  0  1 99  0  0  0
 0  0      0 184944  16056 509320    0    0     0    20 1014   73  0  2 95  3  0  0
 0  0      0 184944  16064 509328    0    0     0  2064 1021   91  0  1 99  0  0  0
 0  0      0 184944  16064 509328    0    0     0     0 1011   62  0  1 99  0  0  0
 0  0      0 184944  16064 509328    0    0     0     0 1014   70  0  2 98  0  0  0
